Long,Lat
-115.055499,49.000636
-115.055935,48.99967
-115.056693,48.998889
-115.057019,48.998581
-115.05725,48.998361
-115.05775,48.997752
-115.057842,48.99763
-115.057547,48.997276
-115.057478,48.997274
-115.056761,48.9973
-115.05693,48.99637
-115.057034,48.995467
-115.059054,48.99587
-115.058962,48.998369
-115.059948,48.999295
-115.06341,48.999354
-115.067811,48.994837
-115.075213,48.992235
-115.085303,48.992296
-115.085489,48.955804
-115.084958,48.954409
-115.085589,48.952373
-115.086131,48.919573
-115.08245,48.910023
-115.079241,48.906262
-115.079187,48.905374
-115.057749,48.90509
-115.057411,48.892892
-115.052153,48.87798
-115.056072,48.875741
-115.052917,48.872363
-115.051608,48.869378
-115.05028,48.867869
-115.049449,48.865352
-115.047416,48.864854
-115.037897,48.856767
-115.03402,48.854692
-115.029441,48.854642
-115.024467,48.851915
-115.022045,48.851116
-115.015957,48.846054
-115.01314,48.844996
-115.007813,48.838647
-115.006345,48.838602
-115.00127,48.837259
-114.995377,48.83112
-114.99053,48.827975
-114.984852,48.82258
-114.977749,48.812525
-114.974987,48.810608
-114.967314,48.803627
-114.966452,48.802017
-114.963033,48.799571
-114.960916,48.799563
-114.959334,48.798951
-114.957176,48.799488
-114.955037,48.798741
-114.951307,48.798503
-114.949124,48.800602
-114.934575,48.791939
-114.932016,48.793503
-114.930105,48.793921
-114.925261,48.795986
-114.921588,48.800056
-114.916734,48.800319
-114.915275,48.801202
-114.912456,48.801259
-114.91095,48.80274
-114.910686,48.807477
-114.905405,48.810969
-114.905229,48.81372
-114.904139,48.8146
-114.893649,48.817533
-114.890263,48.818087
-114.885799,48.820776
-114.885635,48.821598
-114.882379,48.82318
-114.879461,48.82396
-114.870741,48.825247
-114.867456,48.824777
-114.86633,48.826436
-114.863472,48.826669
-114.85839,48.826245
-114.850573,48.827216
-114.848745,48.828165
-114.843192,48.833702
-114.839165,48.83858
-114.837417,48.843081
-114.833714,48.849529
-114.830282,48.852369
-114.826183,48.857809
-114.824366,48.859082
-114.820664,48.86331
-114.818762,48.86461
-114.816898,48.865236
-114.814765,48.866982
-114.811599,48.868459
-114.810143,48.86886
-114.805847,48.877782
-114.80597,48.87968
-114.801426,48.886937
-114.801293,48.889038
-114.800619,48.890275
-114.79156,48.892821
-114.78783,48.893234
-114.780997,48.894704
-114.778184,48.894743
-114.77746,48.895302
-114.774818,48.895328
-114.774726,48.898676
-114.775533,48.900504
-114.775365,48.902745
-114.772212,48.907432
-114.770769,48.90849
-114.770343,48.910165
-114.767225,48.911715
-114.763544,48.916772
-114.757463,48.922759
-114.752466,48.929133
-114.735637,48.927096
-114.72849,48.925359
-114.722384,48.922858
-114.720374,48.92247
-114.714002,48.923214
-114.712129,48.923948
-114.705897,48.924782
-114.7013,48.924485
-114.698187,48.92564
-114.693313,48.926033
-114.693573,48.923423
-114.692315,48.92082
-114.687646,48.918096
-114.685002,48.914224
-114.678608,48.910661
-114.67902,48.910293
-114.676686,48.909497
-114.668848,48.909369
-114.66804,48.909843
-114.656328,48.910703
-114.647214,48.913425
-114.637424,48.917649
-114.631996,48.918072
-114.630104,48.916804
-114.627587,48.916404
-114.627266,48.91691
-114.621793,48.91864
-114.619923,48.918839
-114.615402,48.920222
-114.614799,48.920848
-114.612457,48.921439
-114.607296,48.921768
-114.603938,48.92302
-114.598269,48.924142
-114.595829,48.923611
-114.582483,48.923422
-114.579758,48.922769
-114.56945,48.922693
-114.561319,48.923758
-114.551131,48.926648
-114.544241,48.930925
-114.539267,48.933126
-114.529909,48.935844
-114.527513,48.938519
-114.518684,48.940237
-114.516823,48.941814
-114.510845,48.943308
-114.504601,48.943435
-114.501998,48.943055
-114.499251,48.943384
-114.495075,48.942192
-114.486746,48.940849
-114.48521,48.940226
-114.480313,48.93952
-114.475825,48.938059
-114.47288,48.9376
-114.466183,48.937944
-114.439654,48.9266
-114.435008,48.926096
-114.427043,48.926359
-114.422416,48.923662
-114.419449,48.923118
-114.414991,48.923466
-114.411032,48.9227
-114.408922,48.921649
-114.4073,48.919366
-114.404131,48.919029
-114.39162,48.906907
-114.390885,48.9045
-114.389202,48.903104
-114.389125,48.900477
-114.386517,48.897523
-114.382785,48.895294
-114.380518,48.892718
-114.377218,48.891759
-114.376891,48.884987
-114.378707,48.881483
-114.378024,48.877255
-114.3785,48.874108
-114.377794,48.872814
-114.37558,48.871014
-114.371936,48.870304
-114.369848,48.868656
-114.369487,48.861236
-114.366932,48.854431
-114.363434,48.852425
-114.362272,48.849913
-114.360776,48.848937
-114.35468,48.842819
-114.355514,48.839649
-114.360979,48.835999
-114.360266,48.833471
-114.359129,48.831977
-114.361548,48.830792
-114.36082,48.829861
-114.361697,48.828652
-114.364174,48.826866
-114.361949,48.822364
-114.362015,48.819964
-114.359789,48.818605
-114.359394,48.817671
-114.373693,48.817389
-114.374299,48.817824
-114.378273,48.817907
-114.38054,48.817535
-114.380931,48.816981
-114.394824,48.818275
-114.397405,48.81747
-114.398671,48.81614
-114.403438,48.815025
-114.405064,48.813291
-114.425582,48.810032
-114.430806,48.807846
-114.437762,48.805666
-114.439998,48.803839
-114.443061,48.802208
-114.449431,48.800778
-114.458725,48.800307
-114.463979,48.798974
-114.465939,48.798991
-114.478773,48.796101
-114.486315,48.795217
-114.491136,48.793703
-114.495813,48.790382
-114.499286,48.790018
-114.510814,48.785843
-114.517503,48.782582
-114.520925,48.781933
-114.529899,48.775793
-114.532972,48.774737
-114.538832,48.775964
-114.540395,48.775952
-114.552785,48.771109
-114.55265,48.768433
-114.55673,48.766395
-114.55956,48.766623
-114.560304,48.765978
-114.561207,48.767087
-114.561907,48.767093
-114.563512,48.765406
-114.563388,48.763288
-114.561177,48.761493
-114.561039,48.760281
-114.561976,48.759163
-114.562702,48.756744
-114.564096,48.75509
-114.563553,48.753701
-114.565213,48.752432
-114.567411,48.751827
-114.568173,48.750966
-114.569459,48.750757
-114.572259,48.751371
-114.571953,48.749616
-114.570967,48.748713
-114.571406,48.748124
-114.570061,48.744907
-114.570362,48.742221
-114.568897,48.739566
-114.571244,48.736437
-114.57754,48.73255
-114.578463,48.731484
-114.578748,48.730101
-114.581597,48.727034
-114.582472,48.726715
-114.586143,48.722129
-114.587561,48.72116
-114.58961,48.717226
-114.58988,48.71291
-114.58885,48.710216
-114.584436,48.705287
-114.582772,48.70428
-114.580606,48.69697
-114.579084,48.693807
-114.576035,48.689734
-114.574214,48.683964
-114.575126,48.683938
-114.57123,48.679292
-114.568214,48.673283
-114.566447,48.670931
-114.558671,48.663399
-114.557864,48.662028
-114.552485,48.656674
-114.550217,48.655309
-114.548329,48.652425
-114.546888,48.645677
-114.543573,48.642564
-114.54166,48.641646
-114.540293,48.63911
-114.536747,48.636542
-114.534508,48.635776
-114.531951,48.632848
-114.527197,48.629204
-114.528475,48.626193
-114.524758,48.624019
-114.519525,48.623482
-114.517952,48.621632
-114.516049,48.620932
-114.513224,48.618291
-114.508995,48.616764
-114.502886,48.611352
-114.494635,48.607032
-114.494824,48.606013
-114.494039,48.604653
-114.49023,48.601737
-114.48986,48.600622
-114.487614,48.599422
-114.475344,48.590498
-114.474579,48.587913
-114.475637,48.587179
-114.475082,48.585937
-114.473043,48.584926
-114.470799,48.579975
-114.463638,48.574478
-114.462614,48.572246
-114.461246,48.571554
-114.460505,48.56969
-114.459273,48.569103
-114.457917,48.565841
-114.456252,48.564534
-114.454531,48.560703
-114.452537,48.558792
-114.452551,48.555479
-114.45105,48.553002
-114.449312,48.546856
-114.448384,48.546123
-114.448156,48.544832
-114.449082,48.544104
-114.448612,48.543179
-114.449123,48.542139
-114.448085,48.539729
-114.449166,48.537106
-114.448986,48.53563
-114.446798,48.531327
-114.446396,48.529046
-114.443751,48.525355
-114.441331,48.520205
-114.441217,48.518824
-114.439418,48.515666
-114.438003,48.51523
-114.436217,48.513815
-114.437536,48.509962
-114.436305,48.507732
-114.434548,48.505986
-114.434272,48.504954
-114.435141,48.503443
-114.434673,48.50147
-114.431871,48.500042
-114.432419,48.497999
-114.430007,48.497379
-114.430338,48.494835
-114.428203,48.490797
-114.422692,48.487321
-114.418025,48.486634
-114.416543,48.487239
-114.414877,48.487216
-114.413538,48.486063
-114.41171,48.48693
-114.410975,48.486863
-114.409949,48.485542
-114.401795,48.480727
-114.393418,48.476823
-114.391777,48.477313
-114.391273,48.477049
-114.39152,48.476144
-114.390064,48.475477
-114.388652,48.475351
-114.378633,48.467763
-114.374871,48.465852
-114.374675,48.464331
-114.373195,48.463044
-114.371082,48.459978
-114.364744,48.454485
-114.359298,48.447977
-114.355909,48.440689
-114.353232,48.439739
-114.345624,48.439679
-114.343268,48.438908
-114.341657,48.437472
-114.341186,48.436291
-114.340999,48.41649
-114.339187,48.414969
-114.33084,48.415257
-114.326712,48.414333
-114.278895,48.414143
-114.279045,48.409302
-114.278329,48.408944
-114.268489,48.408954
-114.267978,48.408687
-114.267982,48.407271
-114.262656,48.406976
-114.262622,48.403627
-114.243376,48.403338
-114.241053,48.401002
-114.240982,48.399917
-114.219224,48.399729
-114.219047,48.385257
-114.18666,48.385142
-114.186546,48.381736
-114.178441,48.381694
-114.176152,48.382372
-114.175712,48.381394
-114.180749,48.379561
-114.181275,48.370417
-114.178316,48.367986
-114.176579,48.367435
-114.171349,48.366851
-114.167807,48.365219
-114.17152,48.362414
-114.181036,48.358838
-114.180964,48.3454
-114.175587,48.345294
-114.17536,48.301931
-114.15431,48.302138
-114.154139,48.269333
-114.143298,48.269274
-114.142889,48.268427
-114.143185,48.268568
-114.143036,48.251086
-114.137484,48.250872
-114.137514,48.240292
-114.132099,48.240107
-114.131912,48.225639
-114.115662,48.225591
-114.115614,48.211279
-114.104886,48.211472
-114.10488,48.208037
-114.098723,48.207995
-114.09092,48.206342
-114.0849,48.206365
-114.084473,48.205603
-114.080016,48.20349
-114.075637,48.203839
-114.075593,48.204338
-114.073459,48.20253
-114.072361,48.200622
-114.072331,48.197099
-114.066528,48.193587
-114.06518,48.19347
-114.061599,48.190663
-114.060946,48.188908
-114.059094,48.186882
-114.054384,48.186233
-114.05133,48.18511
-114.051485,48.176202
-114.049708,48.175347
-114.040561,48.175352
-114.040525,48.168302
-114.029664,48.16823
-114.008266,48.154023
-114.008025,48.135888
-114.009164,48.135542
-114.009824,48.134459
-114.012519,48.133491
-114.015264,48.131375
-114.016165,48.129584
-114.021525,48.126701
-114.024303,48.126181
-114.024753,48.124874
-114.027787,48.121664
-114.027736,48.118086
-114.029493,48.116838
-114.029438,48.095336
-114.028613,48.073485
-114.026274,48.071062
-114.021356,48.062631
-114.021395,48.059305
-114.021955,48.057839
-114.023322,48.057078
-114.029262,48.056937
-114.02947,48.055296
-114.028657,48.05472
-114.018607,48.051992
-114.007069,48.051655
-114.006661,48.037944
-114.007243,48.023228
-114.006604,48.022186
-114.000052,48.020017
-113.999544,48.019658
-113.996705,48.015725
-113.992339,48.01162
-113.988133,48.010146
-113.981648,48.00586
-113.977584,48.003884
-113.974251,48.001352
-113.971473,48.000024
-113.969633,47.999853
-113.962151,47.996875
-113.95534,47.992668
-113.951474,47.986802
-113.950758,47.982999
-113.951529,47.981725
-113.95036,47.977587
-113.950845,47.972726
-113.952614,47.975495
-113.953549,47.972926
-113.954743,47.972225
-113.956784,47.96954
-113.957216,47.968119
-113.956678,47.96567
-113.961291,47.964749
-113.959877,47.962766
-113.960338,47.957788
-113.95608,47.958319
-113.954797,47.953551
-113.952813,47.953199
-113.951343,47.951693
-113.950478,47.951453
-113.947708,47.95299
-113.942886,47.952319
-113.9409,47.950808
-113.940597,47.948206
-113.94181,47.945914
-113.942907,47.945409
-113.94308,47.944586
-113.941385,47.94237
-113.938254,47.940338
-113.935604,47.939907
-113.930289,47.936418
-113.924108,47.934069
-113.926828,47.936437
-113.929048,47.936962
-113.929726,47.939053
-113.931947,47.940977
-113.924887,47.940493
-113.922986,47.941362
-113.922875,47.943092
-113.922399,47.943283
-113.922185,47.941002
-113.924231,47.940081
-113.924592,47.939202
-113.922276,47.936684
-113.920749,47.936297
-113.912102,47.936555
-113.909531,47.935845
-113.908098,47.934977
-113.90607,47.934647
-113.901565,47.932755
-113.900597,47.933052
-113.899202,47.931932
-113.896815,47.931031
-113.893201,47.927616
-113.889973,47.927709
-113.888244,47.928593
